,disk,small,medium,large
Achillea millefolium,0,1,0,0
Allium cernuum,0,0,1,0
Anemone drummondii,0,0,1,0
Aquilegia flavescens,0,0,0,1
Arabis drummondii,0,1,0,0
Arenaria capillaris,0,1,0,0
Arnica angustifolia,1,0,0,0
Arnica chamissonis,1,0,0,0
Astragalus alpinus,0,0,1,0
Castilleja occidentalis,0,0,0,1
Castilleja rhexifolia,0,0,0,1
Cerastium beeringianum,0,0,1,0
Claytonia lanceolata,0,0,1,0
Delphinium nelsonii,0,0,1,0
Draba incerta,0,1,0,0
Erigeron compositus,1,0,0,0
Erigeron peregrinus,1,0,0,0
Erythronium grandiflorum,0,0,0,1
Fragaria virginiana,0,0,1,0
Gentianella amarella,0,1,0,0
Hedysarum sulphurescens,0,0,1,0
Heuchera cylindrica,0,1,0,0
Myosotis asiatica,0,1,0,0
Pedicularis bracteosa,0,0,1,0
Phacelia sericea,0,0,1,0
Polemonium pulcherrimum,0,0,1,0
Potentilla diversifolia,0,0,1,0
Potentilla fruticosa,0,0,1,0
Ranunculus eschscholtzii,0,0,1,0
Saxifraga bronchialis,0,1,0,0
Saxifraga nivalis,0,1,0,0
Sedum lanceolata,0,1,0,0
Senecio canus,1,0,0,0
Senecio triangularis,1,0,0,0
Smelowskia calycina,0,1,0,0
Solidago multiradiata,1,0,0,0
Tonestus lyalii,1,0,0,0
Vaccinium caespitosum,0,0,1,0
Valeriana sitchensis,0,0,1,0
Veronica wormskjoldii,0,0,1,0
Zigadenus elegans,0,0,1,0
